"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JSON", "HTSL", "Ignore", "Python", "YAML", "comment", "blank", "total"
"c:\Users\Sandy\Documents\Projects\htsl\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 26, 1, 8, 35
"c:\Users\Sandy\Documents\Projects\htsl\.prettierrc.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\Sandy\Documents\Projects\htsl\README.md", "Markdown", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 89
"c:\Users\Sandy\Documents\Projects\htsl\ct_module\CTAutocomplete\README.md", "Markdown", 0, 0, 28, 0, 0, 0, 0, 0, 0, 15, 43
"c:\Users\Sandy\Documents\Projects\htsl\ct_module\CTAutocomplete\asm.d.ts", "TypeScript", 464, 0, 0, 0, 0, 0, 0, 0, 656, 86, 1206
"c:\Users\Sandy\Documents\Projects\htsl\ct_module\CTAutocomplete\index.d.ts", "TypeScript", 5740, 0, 0, 0, 0, 0, 0, 0, 6636, 1725, 14101
"c:\Users\Sandy\Documents\Projects\htsl\ct_module\CTAutocomplete\metadata.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Sandy\Documents\Projects\htsl\ct_module\CTAutocomplete\schema.json", "JSON", 0, 0, 0, 77, 0, 0, 0, 0, 0, 1, 78
"c:\Users\Sandy\Documents\Projects\htsl\ct_module\install.py", "Python", 0, 0, 0, 0, 0, 0, 50, 0, 2, 14, 66
"c:\Users\Sandy\Documents\Projects\htsl\ct_module\metadata.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Sandy\Documents\Projects\htsl\ct_module\package-lock.json", "JSON", 0, 0, 0, 3366, 0, 0, 0, 0, 0, 1, 3367
"c:\Users\Sandy\Documents\Projects\htsl\ct_module\package.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Sandy\Documents\Projects\htsl\ct_module\src\commands.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 10, 71
"c:\Users\Sandy\Documents\Projects\htsl\ct_module\src\compiler\diagnostics.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 8, 51
"c:\Users\Sandy\Documents\Projects\htsl\ct_module\src\gui\button.ts", "TypeScript", 125, 0, 0, 0, 0, 0, 0, 0, 2, 18, 145
"c:\Users\Sandy\Documents\Projects\htsl\ct_module\src\helpers.ts", "TypeScript", 96, 0, 0, 0, 0, 0, 0, 0, 2, 18, 116
"c:\Users\Sandy\Documents\Projects\htsl\ct_module\src\importer\importer.ts", "TypeScript", 159, 0, 0, 0, 0, 0, 0, 0, 6, 22, 187
"c:\Users\Sandy\Documents\Projects\htsl\ct_module\src\index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Sandy\Documents\Projects\htsl\ct_module\src\simulator\actions.ts", "TypeScript", 176, 0, 0, 0, 0, 0, 0, 0, 0, 45, 221
"c:\Users\Sandy\Documents\Projects\htsl\ct_module\src\simulator\commands.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 9, 53
"c:\Users\Sandy\Documents\Projects\htsl\ct_module\src\simulator\conditions.ts", "TypeScript", 109, 0, 0, 0, 0, 0, 0, 0, 0, 28, 137
"c:\Users\Sandy\Documents\Projects\htsl\ct_module\src\simulator\helpers.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 12, 68
"c:\Users\Sandy\Documents\Projects\htsl\ct_module\src\simulator\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
